experiment,mode,accuracy,f1_macro
C3_eval_calibrated,argmax,0.888,0.8879
C3_eval_calibrated,thresholded,0.8661,0.8656
C3_ssl_final,argmax,0.888,0.8879
C3_ssl_final,thresholded,0.8661,0.8656
C3_ssl_final_calibrated,argmax,0.888,0.8879
C3_ssl_final_calibrated,thresholded,0.8661,0.8656
C_LOCO_holdout_CREMAD,argmax,0.668,0.6296
C_LOCO_holdout_CREMAD,thresholded,0.668,0.6296
C_LOCO_holdout_IEMOCAP,argmax,0.7682,0.7681
C_LOCO_holdout_IEMOCAP,thresholded,0.7727,0.7723
C_LOCO_holdout_JL,argmax,0.9,0.8999
C_LOCO_holdout_JL,thresholded,0.9,0.8997
C_LOCO_holdout_RAVDESS,argmax,0.6625,0.6191
C_LOCO_holdout_RAVDESS,thresholded,0.65,0.6011
C_LOCO_holdout_SAVEE,argmax,0.5667,0.4994
C_LOCO_holdout_SAVEE,thresholded,0.6,0.5238
C_LOCO_holdout_TESS,argmax,0.9825,0.9825
C_LOCO_holdout_TESS,thresholded,0.9825,0.9825
results,argmax,0.8775,0.8774
results,thresholded,0.8835,0.8834
results,thresholded,0.716,0.7072
